CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Label
-91677.06022721887,187499.98882412844,101630.02321899075,18.082560186538707,-29761.770651446022,-65726.08296430606,-50293.45603546238,45923.91377233945,0
-91072.24441005256,187499.98882412844,100841.43136986681,22.687019269884782,-29593.19380481206,-65444.696870130116,-49681.44295701044,45725.81027303995,0
-90595.66054318311,187499.98882412844,100130.62358681105,33.10293156522104,-29309.79605375505,-65294.4037493708,-49138.07208168936,45672.5013656915,0
-90150.50322714467,187499.98882412844,99340.60122612721,24.89984183906566,-28954.045710208757,-65157.812247145914,-48741.5968621729,45754.93459432927,0
-89717.01352101644,187499.98882412844,98596.51169756125,23.066998902976447,-28569.57337674936,-64934.40657463113,-48382.67257110313,45847.40375562928,0
-89218.86022203328,187499.98882412844,97974.93207305265,33.37115248269751,-28243.03676146488,-64680.04373789095,-47985.772668467325,45893.56010517836,0
-83574.03925502533,187499.98882412844,92610.80429618385,-0.5364418349529406,-29212.521267683584,-63104.04468202857,-40396.26064278249,41727.150483557605,0
0.0,0.0,0.0,0.0,0.0,0.0,640.8691788237797,285.05178004811887,0
-275.6640479364424,-120849.61657819847,154511.76640461484,-22400.26875735931,-103310.33786000834,-100302.106160051,2563.476715295119,0.0,0
-82928.23034097136,187499.98882412844,92768.09351254067,17.836691012185277,-30390.435778524625,-62704.14964581428,-39473.69244537904,40067.5782601582,0
-82710.39025249422,187499.98882412844,92759.35398097956,2.4586917435343114,-30856.782547043716,-62530.70011917949,-39201.850545516645,39525.213213277646,0
-82475.33932181235,187499.98882412844,92750.74855987719,0.2682209174764703,-31146.707007092657,-62430.296089070805,-38967.26900144035,38940.71513061017,0
-82287.83054875318,187499.98882412844,92807.92431878592,-1.1622906423980381,-31427.154328057426,-62325.958152172454,-38663.73232982947,38349.28800757456,0
-82075.33252688244,187499.98882412844,92759.30927749332,-0.7599592661833326,-31813.43715270979,-62234.60657802859,-38302.86343710801,37977.10913283283,0
-81435.04449337986,186861.93596493817,91491.16077966455,0.7823110093063718,-31368.771575020048,-62271.15167803477,-37290.21771491871,38089.337235053616,0
-81228.4473316936,186437.11873514167,91027.29505463212,-1.7657877067200964,-31154.284248011365,-62313.06119639046,-36867.56860420517,38296.56024554731,0
-80682.93068903271,185617.50266656297,90303.36679836313,-1.274049358013234,-30872.786395119812,-62400.23299457032,-36434.883560829374,38483.554928514655,0
-80533.03989964962,185210.99151438425,89892.87703590852,-3.196299266594605,-30478.881626062488,-62464.293090360945,-36090.68906847769,38709.44164451609,0
4.492700367730878,52405.315780956495,64443.04820555735,49615.840590944325,-1368.0384378456138,119698.52415910507,123206.54083529359,-156365.77644144156,0
-80117.92332636853,184472.86990123213,89480.6214857472,-23.22346110483772,-30449.936118718153,-62472.2056074265,-35528.45332196076,38506.66663090388,0
-79866.1532918306,184134.17393768873,89469.55737290128,-25.838615050233308,-30791.560160610687,-62414.02402007723,-35216.713560623735,38048.00886201911,0
-79635.32684059898,183802.38466277032,89521.05578905677,-3.777444587793624,-31104.283398645126,-62328.86387877845,-34883.7172915767,37455.173579166745,0
-79461.49733433111,183468.13669610835,89602.95257585958,1.5422702754897044,-31328.91841703167,-62232.43845894566,-34616.65866474263,36810.661066213914,0
