CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
-403.2701494258731,-515.2523824722995,19611.44176789771,-497.52745017572937,-588.0520098240381,-621.7360867104582,-469.9901026481451,-497.862726322575
-410.91444557395255,-527.568192933094,19709.47651323536,-475.622741915151,-582.7099432176318,-629.0227549685691,-464.3798151242623,-491.22425861503234
-407.4052219036354,-518.5827921976323,20571.516190261613,-500.83550815793916,-585.9732977135955,-626.1617318488201,-490.7325202663255,-488.4526424677755
-415.3624424554373,-495.582848524025,20388.56717279954,-487.7820901740843,-591.4941782649861,-621.0208309305209,-431.8803806233633,-492.0512731105848
-419.89984630941433,-507.74219678295833,19584.530269177572,-476.85208778691816,-593.081152026722,-622.0266593710577,-443.0786039280059,-492.721825404276
-413.77546869370155,-524.9753907308215,19185.5293026882,-456.42259457246035,-597.2609279907304,-628.3522026748778,-441.93866502873095,-494.5546683403652
-380.404316211004,-506.2893334799608,20464.02665758292,-448.57713273627354,-590.845977714418,-621.5125692792278,-394.15063823167316,-490.6431132938333
-388.0039088728373,-469.8112887031608,21132.164963016807,-472.80642228164805,-588.2308237690224,-620.8196652424135,-424.03491878717654,-490.2631336607417
-403.1360389671349,-486.3515786142098,19958.318469424154,-484.7869565955971,-586.7556087229018,-623.7924470777778,-397.2128270395295,-493.83941256042795
-410.4003554821226,-504.79176669071717,20794.296013968946,-486.2845233848407,-582.0170391808175,-624.9994412064219,-303.91665124396394,-495.8063659552554
-399.4480013518334,-493.63824687232056,20951.249954178926,-461.8764198944819,-586.308573860441,-628.1286852436475,-316.52303436535806,-489.2126017339588
-419.8327910800452,-403.4936668571035,21394.060337189458,-436.68600539481673,-587.40380927347,-623.9712610227621,-361.7853141895124,-484.83166008184315
-432.37211897207015,-487.51386925660785,21788.412141109235,-427.1865145675251,-591.427123035617,-617.3104415720965,-286.59405032360854,-478.28259934679267
-422.4479450254408,-499.74027274491027,20804.86838846614,-430.8522004397035,-592.3435445036616,-617.1316276271122,-332.50453069833105,-483.6693694394451
-416.88236098780396,-451.1922866816692,20487.51833960523,-301.9049943628904,-579.1336643179455,-623.300708729071,-304.8330727120085,-489.3690639358201
-414.82600062048436,-501.5507639378764,20481.796293365733,-364.6463373092614,-582.2182048689249,-625.8264557019744,-348.1507508844585,-494.3982061385039
-422.15737236484125,-513.3301325637182,20213.08363754056,-312.9691072087948,-582.8217019332469,-623.4348191878091,-348.01664042572025,-491.0901481562941
-429.6452063110594,-507.3175136636206,20441.473748771772,-326.3354495963722,-581.704114777095,-617.3327933152194,-275.6416961933193,-491.4254243031397
-428.3488052099231,-501.4837087085073,20800.107467180933,-342.763980791806,-579.9159753272519,-611.8119127638288,-312.5891275757031,-489.9949127432652
-427.63354942998586,-530.9656578877959,21104.940539892945,-381.56660685340205,-579.8265683547597,-618.226863040141,-376.3139472194879,-486.01630246736426
-426.3147965857265,-495.11346191844115,21391.64634893217,-364.0875437311854,-584.5874896399671,-628.3745544180009,-406.62291089432904,-489.6372848532966
-427.52179071437064,-476.5391633831956,21532.819958497283,-394.664728323503,-582.1958531258018,-629.7380107485063,-403.80659126082605,-487.580924485977
-421.2633026399197,-498.53327861626616,21030.84451144007,-334.3150218912972,-579.0442573454534,-633.5378070794229,-399.0233182324957,-497.57215366197545
-418.35757603392454,-407.5616841054967,21405.57148489782,-175.5282387452268,-576.6079173450421,-629.7380107485063,-306.97884005182027,-492.1630318262
-422.9843868603937,-402.04080355410593,20997.45100721425,1337.952991602003,-575.7361993632436,-629.8050659778754,-253.6028774740027,-491.33601733064756
-424.5266571358834,-441.6927958543775,21031.224491073164,515.2076789860535,-580.3406584465896,-628.9109962529539,-371.5083224480344,-491.60423824812403
-420.0116050250295,-440.0834703495187,21184.445690181594,-256.9109354562125,-575.5797371613822,-621.7360867104582,-346.0496870308928,-495.89577292774754
-412.6802332806726,-284.35887601130463,21184.17746926412,-261.89537417265024,-568.9859729400857,-620.8643687286597,-417.2399888777726,-495.9404764139936
-375.8892641001501,-259.7049033465924,21499.538212987078,239.38716884774976,-573.0763419316019,-632.0402402901793,-446.7219380570613,-502.2213162315676
9545.334252437011,3738.373740814551,17022.551120671695,301.2791455554453,-554.3008777082489,-246.1373952709076,-336.61725143297025,-551.3057441297617
8870.646886268072,3714.2115064985455,16969.175158093876,517.5099085277265,-557.8771566079351,-267.8856413296248,-338.5395013415516,-557.184252571121
8785.330282767432,3614.2098077660685,17412.79020385684,396.83284740643785,-555.6196305525083,-253.98285710709436,-330.0011354685507,-554.5914503688484
8680.277090089148,3358.371755979762,17254.31634511449,347.43549510452124,-554.6808573413406,-265.5163565585826,-334.7173532675119,-556.1560723874612
8862.30968608318,3628.8949029979053,17039.091410582743,389.68028960706533,-551.4398545884999,-336.1925683136325,-308.38699986857176,-559.7994065165166
9087.458794561553,3540.7172763775156,17144.323417206015,404.2983296095329,-555.9325549562308,-327.4753884956472,-320.27812721002863,-556.5584037636759
8966.133532889695,3587.074791614699,16917.34146579155,339.70179198394965,-556.3125345893225,-267.19273729281053,-350.36357345363933,-557.6312874335817
8969.218073440674,3602.2292734521197,16532.377393983446,512.6372285269039,-558.0559705529195,-281.65431509341687,-347.1225707007987,-554.2338224788798
9101.56274447219,3289.8636633076467,16737.566395852948,546.902450734523,-551.462206331623,-222.22103012925567,-331.07401913845655,-558.3241914703959
9342.93921845789,3457.814661134163,16875.230781747745,438.8317727346285,-551.3057441297617,-218.980027376415,-417.1952853915265,-555.0608369744323
9298.07927000995,3715.7314250309123,16789.73536430212,334.35972537754327,-554.7032090844637,-310.1751393184149,-420.4586398874903,-552.6021452308979
9307.176429461028,3499.3665515998932,16830.728461189774,183.08312792081404,-562.3922087187891,-303.0225815190424,-361.29357584080554,-557.8101013785661
8843.534221859825,3387.7866499296815,16851.403823578585,283.7106754607365,-556.5360520205528,-284.31417252505855,-361.51709327203594,-558.5924123878724
9083.90486740499,3282.01820147146,16838.9986061453,428.90759878799906,-549.8305290836411,-267.7962343571326,-325.82135950454233,-549.3164389918112
9514.533550413462,3026.493074088876,17074.854199579608,413.2390268587486,-551.6186685334842,-342.8980912505442,-324.41319968779084,-552.4680347721597
9433.284964161214,3096.230512632758,16642.19150794694,561.6769529388519,-556.6925142224142,-258.43085398857914,-372.55885437481726,-554.0103050476495
9528.99512821407,3183.5364212713494,16985.313116628713,455.21560044381624,-558.0559705529195,-222.19867838613263,-381.7007173121403,-549.0482180743347
9244.479790000903,3377.1025167168686,16796.172666321556,309.81751142844627,-560.4252553239617,-287.21989913105364,-335.41025730432614,-551.7304272490994
8942.775961326119,3207.989228247954,16380.74316863675,352.75520996780455,-570.0141531237456,-316.2548134478816,-359.05840152850163,-550.1658052304867
9448.774722145481,3383.7633361675344,16868.167630920863,437.84829603721477,-570.4388362430833,-324.502606660283,-320.4345894118899,-550.5904883498245
9305.120069093708,3524.959297475773,17033.52582654511,403.0466319946427,-556.6701624792911,-240.57181123327086,-268.55619362331595,-553.8538428457881
9189.539205404473,3568.0311064738694,16801.313567239853,503.1600894427352,-557.1171973417519,-265.2481356411061,-335.4773125336952,-548.9811628449656
